Label,Artist,Id,Track,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Genre
Creep,Radiohead,51,Creep Radiohead,0.515,0.43,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,alternative rock
Everlong,Foo Fighters,52,Everlong Foo Fighters,0.413,0.881,-5.541,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,250547,alternative metal
Feel Good Inc,Gorillaz,53,Feel Good Inc Gorillaz,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,222640,alternative hip hop
Fortunate Son,Creedence Clearwater Revival,54,Fortunate Son Creedence Clearwater Revival,0.64,0.663,-7.516,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,album rock
Get Lucky - Radio Edit,Daft Punk,55,Get Lucky - Radio Edit Daft Punk,0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413,electro
Gimme Shelter,The Rolling Stones,56,Gimme Shelter The Rolling Stones,0.634,0.63,-8.277,0.031,0.447,0.039,0.17,0.489,118.628,270773,british invasion
Hate To Say I Told You So,The Hives,57,Hate To Say I Told You So The Hives,0.451,0.929,-5.021,0.0549,0.00109,0.00785,0.442,0.378,135.767,199760,alternative rock
I Want You Back,Jackson 5,58,I Want You Back Jackson 5,0.469,0.538,-13.559,0.0571,0.305,0.00012,0.37,0.886,196.605,176333,adult standards
Intro,The xx,59,Intro The xx,0.617,0.778,-8.872,0.027,0.459,0.925,0.128,0.152,100.363,127920,downtempo
Island In The Sun,Weezer,60,Island In The Sun Weezer,0.654,0.81,-6.26,0.0288,0.00719,0.00251,0.165,0.661,114.623,200307,alternative rock
It's My Life,Bon Jovi,61,It's My Life Bon Jovi,0.551,0.913,-4.063,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,224493,glam metal
Jerk It Out,Caesars,62,Jerk It Out Caesars,0.58,0.981,-2.603,0.06,0.0171,1.07e-05,0.386,0.861,134.007,195667,swedish indie rock
Jump,Van Halen,63,Jump Van Halen,0.572,0.835,-6.219,0.0317,0.171,0.000377,0.0702,0.795,129.981,241600,album rock
Karma Police,Radiohead,64,Karma Police Radiohead,0.36,0.501,-9.129,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,264067,alternative rock
Kids,MGMT,65,Kids MGMT,0.451,0.931,-3.871,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,alternative dance
Killing In The Name,Rage Against The Machine,66,Killing In The Name Rage Against The Machine,0.466,0.833,-4.215,0.304,0.0266,0.0,0.0327,0.661,88.785,313573,alternative metal
Knockin' On Heaven's Door,Guns N' Roses,67,Knockin' On Heaven's Door Guns N' Roses,0.496,0.739,-7.193,0.0415,0.0211,0.00444,0.106,0.378,132.41,336000,glam metal
La Grange,ZZ Top,68,La Grange ZZ Top,0.545,0.64,-9.937,0.224,0.00249,0.0304,0.196,0.606,80.544,230480,album rock
Last Resort,Papa Roach,69,Last Resort Papa Roach,0.589,0.89,-3.719,0.0603,0.000481,0.00082,0.201,0.692,90.598,199907,alternative metal
Layla,Eric Clapton,70,Layla Eric Clapton,0.558,0.524,-11.626,0.0459,0.321,0.000952,0.94,0.636,93.654,289027,album rock
Livin' On A Prayer,Bon Jovi,71,Livin' On A Prayer Bon Jovi,0.532,0.887,-3.757,0.0335,0.0778,0.000214,0.294,0.795,122.511,249293,glam metal
Midnight City,M83,72,Midnight City M83,0.526,0.712,-6.525,0.0356,0.0161,0.0,0.179,0.32,105.009,241440,french shoegaze
More Than a Feeling,Boston,73,More Than a Feeling Boston,0.377,0.681,-8.039,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133,album rock
My Favourite Game,The Cardigans,74,My Favourite Game The Cardigans,0.586,0.777,-6.185,0.0303,4.78e-05,0.00147,0.0729,0.424,143.339,220468,dance pop
Paranoid Android,Radiohead,75,Paranoid Android Radiohead,0.251,0.848,-6.501,0.0579,0.0377,0.00591,0.0545,0.207,163.709,387213,alternative rock
Punching In A Dream,The Naked And Famous,76,Punching In A Dream The Naked And Famous,0.473,0.883,-3.65,0.047,0.00201,0.000967,0.142,0.164,115.048,238133,alternative dance
Purple Haze,Jimi Hendrix,77,Purple Haze Jimi Hendrix,0.533,0.905,-5.27,0.0754,0.00876,0.578,0.0698,0.486,108.9,170813,acid rock
Pursuit Of Happiness (nightmare),Kid Cudi,78,Pursuit Of Happiness (nightmare) Kid Cudi,0.63,0.605,-8.951,0.0414,0.484,9.29e-05,0.298,0.266,115.277,295293,indietronica
Rape Me,Nirvana,79,Rape Me Nirvana,0.42,0.746,-10.628,0.0467,0.0141,0.0,0.0661,0.229,111.886,170000,alternative rock
Roxanne,The Police,80,Roxanne The Police,0.618,0.748,-8.905,0.358,0.0384,4.1e-06,0.0473,0.663,134.114,191947,album rock
Seven Nation Army,The White Stripes,81,Seven Nation Army The White Stripes,0.743,0.446,-7.807,0.0683,0.0039,0.118,0.337,0.278,123.596,232107,alternative rock
Something Good,alt-J,82,Something Good alt-J,0.682,0.581,-10.339,0.0295,0.714,0.324,0.0802,0.539,108.981,217320,indie rock
Sultans Of Swing,Dire Straits,83,Sultans Of Swing Dire Straits,0.73,0.868,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,album rock
Sunday Bloody Sunday,U2,84,Sunday Bloody Sunday U2,0.543,0.944,-7.495,0.0543,0.402,0.000564,0.0373,0.735,101.174,279440,irish rock
Sweet Child O' Mine,Guns N' Roses,85,Sweet Child O' Mine Guns N' Roses,0.446,0.952,-5.321,0.0523,0.0901,0.0857,0.112,0.624,125.303,356067,glam metal
Sweet Home Alabama,Lynyrd Skynyrd,86,Sweet Home Alabama Lynyrd Skynyrd,0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,album rock
The Passenger,Iggy Pop,87,The Passenger Iggy Pop,0.498,0.889,-5.413,0.0546,0.0947,1.62e-06,0.733,0.696,134.88,283360,alternative rock
Toxicity,System Of A Down,88,Toxicity System Of A Down,0.413,0.873,-4.151,0.0536,0.000264,0.00249,0.204,0.48,116.68,218933,alternative metal
Under The Bridge,Red Hot Chili Peppers,89,Under The Bridge Red Hot Chili Peppers,0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307,alternative rock
Wake Me Up When September Ends,Green Day,90,Wake Me Up When September Ends Green Day,0.546,0.814,-5.146,0.0314,0.023,0.0,0.0972,0.146,104.98,285653,permanent wave
Where Is My Mind?,Pixies,91,Where Is My Mind? Pixies,0.519,0.441,-14.178,0.0353,0.0204,0.000453,0.076,0.25,81.334,234973,alternative rock
You Give Love A Bad Name,Bon Jovi,92,You Give Love A Bad Name Bon Jovi,0.541,0.96,-2.947,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,222707,glam metal
Zombie,The Cranberries,93,Zombie The Cranberries,0.309,0.649,-8.994,0.035,0.0158,0.00591,0.367,0.312,166.915,306440,irish rock
Chocolate,The 1975,94,Chocolate The 1975,0.591,0.94,-4.341,0.0522,0.00391,0.0,0.383,0.676,100.043,224640,modern alternative rock
Flaws,Bastille,95,Flaws Bastille,0.57,0.657,-6.987,0.0356,0.405,1.86e-06,0.0723,0.41,144.247,218800,metropopolis
Hey Brother,Avicii,96,Hey Brother Avicii,0.545,0.78,-4.867,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014,255093,dance pop
I See Fire,Ed Sheeran,97,I See Fire Ed Sheeran,0.633,0.0519,-21.107,0.0365,0.562,0.0,0.097,0.204,76.034,300747,pop
Mardy Bum,Arctic Monkeys,98,Mardy Bum Arctic Monkeys,0.634,0.599,-5.447,0.0365,0.0288,0.0,0.197,0.312,112.215,175440,garage rock
Mr. Brightside,The Killers,99,Mr. Brightside The Killers,0.356,0.924,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587,alternative rock
Naive,The Kooks,100,Naive The Kooks,0.547,0.816,-6.165,0.0624,0.0688,0.0,0.127,0.722,102.765,203507,brighton indie
R U Mine?,Arctic Monkeys,101,R U Mine? Arctic Monkeys,0.288,0.758,-5.692,0.0371,0.00616,0.0,0.303,0.619,97.094,201726,garage rock
Recover,CHVRCHES,102,Recover CHVRCHES,0.419,0.584,-6.473,0.0557,0.00493,0.0,0.364,0.166,170.054,225853,electropop
Riptide,Vance Joy,103,Riptide Vance Joy,0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654,204280,folk-pop
Same Love - feat. Mary Lambert,Macklemore & Ryan Lewis,104,Same Love - feat. Mary Lambert Macklemore & Ryan Lewis,0.688,0.473,-9.059,0.167,0.716,4.46e-05,0.104,0.299,84.958,318525,pop
Say Something,A Great Big World,105,Say Something A Great Big World,0.407,0.147,-8.822,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400,pop
The Funeral,Band of Horses,106,The Funeral Band of Horses,0.319,0.757,-6.117,0.0432,0.016,0.0,0.102,0.101,122.465,322173,indie folk
The Mother We Share,CHVRCHES,107,The Mother We Share CHVRCHES,0.46,0.686,-6.43,0.0301,0.0324,4.45e-06,0.126,0.338,173.829,191294,electropop
Trumpets,Jason Derulo,108,Trumpets Jason Derulo,0.635,0.691,-4.862,0.258,0.555,0.0,0.097,0.638,82.142,217419,dance pop
When The Sun Goes Down,Arctic Monkeys,109,When The Sun Goes Down Arctic Monkeys,0.348,0.875,-4.758,0.199,0.0341,0.0,0.117,0.407,169.152,202133,garage rock
Why'd You Only Call Me When You're High?,Arctic Monkeys,110,Why'd You Only Call Me When You're High? Arctic Monkeys,0.691,0.631,-6.478,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124,garage rock
Wonderwall,Oasis,111,Wonderwall Oasis,0.375,0.893,-4.097,0.0406,0.000509,0.0,0.187,0.434,174.323,258773,beatlesque
Falling,Haim,112,Falling Haim,0.741,0.894,-5.648,0.069,0.076,4.89e-05,0.0835,0.297,111.969,257733,art pop
Gun,CHVRCHES,113,Gun CHVRCHES,0.661,0.778,-7.248,0.0417,0.0051,0.000221,0.284,0.462,119.995,233987,electropop
On Top Of The World,Imagine Dragons,114,On Top Of The World Imagine Dragons,0.635,0.926,-5.589,0.151,0.0893,4.53e-06,0.0928,0.761,100.048,189840,modern rock
The A Team,Ed Sheeran,115,The A Team Ed Sheeran,0.642,0.289,-9.918,0.0367,0.669,0.0,0.18,0.407,84.996,258373,pop
Don't,Ed Sheeran,116,Don't Ed Sheeran,0.806,0.608,-7.008,0.0659,0.0113,0.0,0.635,0.849,95.049,219840,pop
Sing,Ed Sheeran,117,Sing Ed Sheeran,0.818,0.67,-4.451,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,235382,pop
Summer,Calvin Harris,118,Summer Calvin Harris,0.596,0.856,-3.556,0.0346,0.0211,0.0178,0.141,0.743,127.949,222533,dance pop
Thinking Out Loud,Ed Sheeran,119,Thinking Out Loud Ed Sheeran,0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,281560,pop
Fix You,Coldplay,120,Fix You Coldplay,0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,permanent wave
Need You Now,Lady Antebellum,121,Need You Now Lady Antebellum,0.587,0.622,-5.535,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573,contemporary country
Another Love,Tom Odell,122,Another Love Tom Odell,0.445,0.537,-8.532,0.04,0.695,1.6e-05,0.0941,0.131,122.764,244360,chill pop
Best Thing I Never Had,Beyoncé,123,Best Thing I Never Had Beyoncé,0.545,0.649,-4.062,0.0324,0.143,1.57e-05,0.0894,0.297,99.099,253747,dance pop
Counting Stars,OneRepublic,124,Counting Stars OneRepublic,0.664,0.705,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017,257840,dance pop
Drive By,Train,125,Drive By Train,0.765,0.837,-3.113,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,195973,dance pop
Drunk in Love,Beyoncé,126,Drunk in Love Beyoncé,0.589,0.621,-6.902,0.0468,0.00969,0.00104,0.181,0.401,140.03,323480,dance pop
